member_id,total_tickets,avg_csat,total_repeat_contacts,total_escalations,avg_resolution_time
2,1,3.0,1,0,27.0
15,1,4.0,0,0,12.2
23,1,5.0,0,0,6.9
26,1,4.0,0,0,8.7
62,1,5.0,0,0,44.0
64,1,5.0,1,0,9.0
70,1,5.0,0,0,16.4
119,1,4.0,0,0,27.2
135,1,4.0,1,1,48.2
188,1,5.0,0,0,45.6
241,1,3.0,0,0,70.4
249,1,4.0,0,0,32.5
256,1,5.0,1,0,45.4
266,1,4.0,0,0,49.8
297,1,5.0,0,0,28.9
308,1,5.0,0,0,4.2
312,1,5.0,0,0,21.5
313,1,5.0,0,0,14.3
325,1,5.0,1,1,23.1
353,1,5.0,0,0,13.0
371,1,4.0,1,1,11.3
389,1,5.0,0,0,13.8
404,1,5.0,0,0,9.8
405,1,4.0,0,0,6.2
445,1,5.0,0,0,28.7
468,1,5.0,0,0,37.9
482,1,5.0,0,0,34.2
494,1,5.0,0,0,8.2
506,1,4.0,0,0,12.7
510,1,4.0,0,0,67.0
516,1,4.0,0,0,16.9
548,1,5.0,0,0,12.7
609,1,4.0,0,0,10.5
631,1,5.0,0,0,17.6
632,1,4.0,0,0,14.4
643,1,5.0,1,0,45.9
649,1,3.0,0,0,9.1
671,1,4.0,1,0,38.5
677,1,4.0,0,0,48.6
697,1,4.0,1,1,12.6
753,1,4.0,0,0,11.7
773,1,5.0,0,0,19.8
779,1,4.0,0,1,44.3
780,1,4.0,0,0,31.1
793,1,5.0,0,0,11.2
816,1,4.0,0,1,36.1
831,1,5.0,1,0,48.9
889,1,5.0,0,0,47.0
911,1,5.0,0,0,24.9
929,1,5.0,1,0,16.7
933,1,5.0,0,0,35.1
950,1,4.0,0,0,41.4
985,1,3.0,0,0,16.9
996,1,5.0,0,0,39.4
1063,1,5.0,0,0,33.3
1075,1,3.0,1,1,71.0
1101,1,5.0,0,0,44.4
1127,1,5.0,0,0,13.7
1130,1,5.0,0,0,10.3
1136,1,5.0,0,0,14.4
1148,1,5.0,0,0,14.3
1149,1,4.0,0,1,23.5
1156,1,5.0,0,0,33.7
1158,1,5.0,0,0,16.2
1167,1,5.0,0,0,6.6
1211,1,3.0,0,1,46.1
1234,1,5.0,1,0,31.3
1248,1,5.0,0,0,56.2
1278,2,3.5,0,1,48.05
1287,1,5.0,1,0,41.3
1301,1,5.0,1,0,38.9
1308,1,4.0,0,0,62.7
1330,1,2.0,1,1,53.6
1337,1,4.0,0,0,40.5
1347,1,4.0,0,0,58.9
1385,1,5.0,0,0,14.4
1410,1,5.0,0,0,11.2
1415,1,5.0,1,0,15.9
1450,1,5.0,1,1,3.7
1452,1,5.0,0,0,32.2
1454,1,5.0,0,0,5.4
1459,1,4.0,0,0,63.9
1477,1,5.0,0,0,3.3
1482,1,5.0,0,0,62.5
1483,1,2.0,0,1,54.7
1494,1,4.0,0,1,39.8
1526,1,4.0,0,0,61.1
1548,1,4.0,0,0,26.2
1549,1,5.0,0,0,12.2
1552,1,5.0,1,1,37.4
1554,1,4.0,0,1,50.9
1581,1,4.0,1,0,39.2
1735,1,4.0,0,0,43.8
1757,1,3.0,0,1,8.1
1758,1,4.0,0,0,53.4
1759,1,5.0,0,0,34.9
1763,1,3.0,0,0,18.6
1778,1,4.0,0,0,37.8
1779,1,5.0,0,0,20.9
1799,1,4.0,1,0,53.0
1818,1,4.0,1,1,38.2
1856,1,5.0,0,0,15.4
1864,1,2.0,1,0,48.1
1887,2,5.0,0,0,24.299999999999997
1889,1,5.0,0,0,1.0
1908,1,4.0,0,0,10.5
1937,1,5.0,0,0,21.3
1973,1,3.0,0,1,23.2
1984,1,4.0,0,1,22.9
1993,1,4.0,0,0,19.6
1996,1,5.0,1,0,9.1
2002,1,3.0,0,1,20.8
2012,1,5.0,0,1,51.1
2015,1,5.0,0,0,13.2
2069,1,5.0,0,0,38.6
2070,1,5.0,0,0,43.2
2093,1,5.0,0,0,16.6
2098,1,4.0,0,0,55.0
2101,1,5.0,1,0,71.8
2111,1,5.0,0,0,49.1
2124,1,3.0,0,1,53.3
2126,1,5.0,1,0,41.4
2128,1,4.0,0,0,11.2
2136,1,4.0,0,0,8.8
2143,1,5.0,0,0,12.6
2149,1,5.0,0,0,33.8
2211,1,5.0,0,0,26.9
2213,1,5.0,1,0,57.8
2238,1,5.0,0,0,20.8
2240,1,4.0,1,1,45.0
2301,1,3.0,1,1,38.0
2303,2,4.5,1,1,25.200000000000003
2323,1,4.0,0,0,54.1
2333,2,4.0,0,0,54.0
2336,1,5.0,0,0,17.3
2340,4,4.75,1,0,32.35
2357,1,4.0,0,1,43.0
2394,1,4.0,0,0,54.7
2413,1,5.0,0,0,41.4
2429,1,4.0,0,0,54.7
2449,1,4.0,1,1,14.5
2541,1,5.0,0,0,34.5
2570,2,5.0,0,0,42.95
2577,1,5.0,1,0,46.9
2588,1,4.0,0,1,37.7
2589,1,4.0,0,1,21.2
2596,1,5.0,0,0,17.2
2645,1,5.0,0,0,30.0
2656,1,5.0,0,0,12.6
2698,1,5.0,0,0,6.3
2769,1,5.0,0,0,4.8
2775,1,4.0,0,0,18.2
2781,1,5.0,1,0,19.6
2811,1,4.0,1,0,23.1
2815,1,5.0,0,0,33.7
2818,1,5.0,0,0,42.4
2852,1,5.0,0,0,33.3
2854,1,4.0,0,1,20.9
2863,1,5.0,0,0,15.6
2888,1,4.0,1,0,38.1
2889,1,5.0,0,0,41.0
2934,1,5.0,0,0,14.9
2952,1,5.0,0,0,46.4
2955,1,5.0,0,0,21.1
2966,1,5.0,0,0,44.9
2971,2,4.5,0,0,28.8
2982,1,5.0,0,0,17.4
2983,1,5.0,0,0,28.3
3012,1,4.0,0,1,51.3
3017,1,5.0,0,0,10.5
3026,1,4.0,0,0,29.3
3036,1,5.0,0,0,31.0
3072,1,5.0,1,0,48.6
3101,2,5.0,1,0,21.65
3120,2,3.5,0,1,50.55
3170,1,5.0,0,0,7.9
3184,1,4.0,1,0,56.4
3201,1,3.0,0,0,49.4
3213,1,5.0,0,0,25.4
3215,1,5.0,0,0,8.3
3225,1,4.0,0,0,73.6
3289,1,5.0,0,0,38.2
3297,1,4.0,0,1,54.4
3334,1,5.0,0,0,31.4
3367,1,4.0,0,1,38.0
3439,1,5.0,0,1,12.7
3443,1,4.0,0,1,13.4
3463,1,5.0,0,0,35.7
3474,1,5.0,0,0,46.2
3488,1,3.0,0,0,74.5
3498,1,5.0,0,0,12.2
3563,1,5.0,0,0,30.5
3567,1,5.0,0,0,10.4
3593,1,5.0,0,0,44.8
3617,1,5.0,0,0,51.8
3658,1,5.0,0,0,34.5
3659,1,5.0,0,0,39.2
3661,1,5.0,0,0,22.4
3684,1,5.0,0,0,10.9
3696,1,4.0,0,0,13.0
3702,1,4.0,0,0,19.6
3710,1,4.0,0,1,13.1
3745,1,5.0,0,0,30.0
3747,1,4.0,0,0,26.3
3771,2,4.5,0,1,47.400000000000006
3801,1,4.0,0,0,17.7
3810,1,5.0,1,0,9.0
3843,1,4.0,0,0,32.7
3854,1,3.0,0,0,1.1
3876,1,5.0,0,0,37.3
3889,1,3.0,0,1,21.0
3907,1,4.0,0,0,50.7
3965,1,5.0,0,0,40.7
3977,1,4.0,0,0,45.3
3990,1,5.0,1,0,32.1
4006,1,4.0,0,0,4.9
4008,1,4.0,0,0,45.9
4034,1,4.0,0,0,41.8
4058,1,4.0,0,0,24.0
4059,1,4.0,0,0,42.8
4088,1,4.0,0,1,6.2
4098,1,3.0,0,1,71.1
4112,1,4.0,0,0,10.4
4146,1,4.0,0,0,42.1
4147,1,5.0,0,0,35.5
4160,1,3.0,0,1,31.5
4170,1,4.0,0,1,38.5
4196,1,5.0,0,1,47.6
4199,1,4.0,0,1,26.6
4220,1,5.0,0,0,36.5
4242,1,5.0,0,0,5.0
4254,1,4.0,0,1,42.6
4271,1,5.0,1,0,62.1
4315,1,5.0,0,0,21.5
4319,1,4.0,0,0,17.9
4335,1,5.0,0,0,24.0
4352,1,5.0,0,0,8.9
4355,1,5.0,0,0,2.1
4383,1,5.0,0,0,6.8
4401,1,5.0,0,0,9.4
4417,1,5.0,0,0,14.6
4449,1,5.0,0,0,13.1
4484,1,4.0,0,0,15.8
4513,1,3.0,0,0,22.6
4554,1,5.0,0,0,45.2
4582,1,4.0,0,1,38.8
4600,1,4.0,0,1,35.2
4623,1,5.0,0,0,42.2
4643,2,4.5,1,1,28.1
4652,1,5.0,0,0,12.5
4671,1,5.0,0,0,11.7
4679,1,4.0,1,0,62.0
4686,1,4.0,0,0,24.0
4693,1,5.0,0,0,16.8
4695,1,5.0,0,0,39.7
4727,1,5.0,0,0,8.0
4729,1,5.0,0,0,57.2
4730,1,4.0,0,0,7.3
4738,1,3.0,0,0,42.1
4739,1,3.0,0,0,61.5
4775,1,4.0,0,0,47.0
4787,1,5.0,0,0,14.2
4792,1,4.0,0,0,6.7
4796,1,4.0,1,0,53.5
4800,1,5.0,0,0,8.6
4807,1,4.0,0,1,15.6
4866,1,5.0,0,0,19.2
4868,1,4.0,0,0,40.8
4902,1,5.0,1,0,22.4
4943,1,4.0,0,0,50.2
4970,1,3.0,0,0,17.9
4984,1,5.0,0,0,39.9
4987,1,5.0,0,0,29.6
5022,1,2.0,1,1,14.2
5026,1,5.0,1,0,25.6
5042,1,4.0,0,0,52.8
5056,1,5.0,0,0,21.1
5064,1,5.0,0,1,51.1
5070,1,3.0,0,1,14.1
5083,1,5.0,0,0,16.6
5087,1,5.0,0,0,35.5
5096,1,5.0,1,0,12.2
5105,1,5.0,0,0,3.5
5120,1,5.0,0,0,7.5
5126,1,5.0,1,0,12.1
5129,1,5.0,0,1,15.0
5139,1,5.0,0,0,27.5
5159,1,2.0,0,0,70.7
5199,1,4.0,0,0,34.8
5205,1,4.0,0,1,62.4
5215,2,4.0,0,1,42.95
5222,1,5.0,0,1,34.4
5251,1,5.0,0,0,42.9
5255,1,4.0,0,1,64.6
5274,1,3.0,1,1,30.4
5290,1,5.0,0,0,22.4
5300,1,4.0,1,0,8.4
5306,1,4.0,0,1,34.8
5333,1,5.0,0,0,13.6
5390,1,5.0,0,0,4.6
5391,1,5.0,0,0,11.9
5431,1,5.0,0,0,23.5
5449,1,4.0,0,1,19.0
5472,1,3.0,1,1,36.5
5628,1,3.0,0,1,19.8
5683,1,4.0,0,0,18.3
5712,1,5.0,1,0,33.2
5725,1,4.0,0,0,9.9
5737,1,5.0,0,0,7.3
5780,1,5.0,0,1,37.4
5781,1,3.0,0,1,58.9
5785,1,4.0,1,0,52.5
5789,1,4.0,0,0,11.5
5808,1,5.0,0,0,63.6
5907,1,4.0,0,1,1.4
5946,1,5.0,0,0,32.3
5953,1,5.0,0,0,7.8
5954,1,5.0,0,1,9.7
5957,1,5.0,0,0,32.8
5973,1,4.0,0,0,30.6
5988,1,3.0,0,0,64.2
5994,1,5.0,0,0,36.5
5995,1,5.0,0,0,33.0
6010,1,4.0,0,0,20.6
6016,1,5.0,1,0,8.9
6028,1,4.0,0,0,36.0
6042,1,5.0,0,0,9.6
6053,1,5.0,1,0,19.7
6068,1,5.0,0,1,29.0
6085,1,4.0,0,0,54.9
6099,1,5.0,0,0,10.6
6147,1,5.0,1,0,16.3
6157,1,4.0,0,0,19.3
6164,1,4.0,1,0,11.8
6204,1,5.0,1,0,56.3
6229,1,3.0,0,0,13.7
6256,1,5.0,0,0,37.4
6281,1,4.0,0,0,19.0
6310,1,4.0,0,0,59.2
6322,1,5.0,0,0,39.8
6327,1,5.0,0,0,12.3
6336,1,4.0,0,0,41.3
6362,1,5.0,0,0,47.4
6373,1,5.0,0,0,10.7
6380,1,2.0,0,1,37.5
6383,1,5.0,0,0,46.9
6392,1,4.0,0,0,16.3
6424,1,5.0,1,0,30.5
6425,1,5.0,0,0,20.4
6449,1,4.0,0,1,33.4
6466,1,5.0,0,0,14.6
6476,1,5.0,0,0,17.8
6502,1,4.0,1,0,55.7
6515,1,4.0,1,0,50.4
6516,1,5.0,1,0,30.2
6533,1,4.0,0,0,51.1
6577,1,4.0,0,0,53.1
6647,1,5.0,0,0,11.4
6671,1,3.0,1,1,63.8
6676,1,3.0,0,1,40.9
6687,2,4.0,1,1,20.45
6695,1,3.0,0,1,11.6
6709,1,4.0,0,0,31.6
6734,1,5.0,0,0,8.7
6753,1,3.0,0,0,5.4
6797,1,5.0,0,0,19.9
6808,1,5.0,0,0,10.8
6809,1,5.0,0,0,42.9
6810,1,5.0,1,0,31.1
6811,1,4.0,1,0,38.6
6826,1,4.0,0,0,45.7
6841,1,5.0,0,0,11.7
6915,1,5.0,0,0,8.9
6940,1,5.0,0,0,17.9
7017,1,3.0,0,1,57.2
7049,1,4.0,0,0,15.9
7052,1,5.0,0,0,11.7
7055,1,5.0,1,0,26.6
7063,1,5.0,0,0,22.5
7117,1,3.0,1,1,65.0
7135,2,5.0,0,0,27.9
7138,1,3.0,1,1,50.4
7148,1,4.0,0,1,45.7
7169,1,5.0,0,1,36.8
7244,1,4.0,0,0,25.5
7275,1,4.0,0,0,20.4
7287,1,5.0,0,0,8.2
7308,1,3.0,1,1,30.8
7324,1,5.0,0,0,18.4
7370,1,4.0,0,0,18.7
7398,1,5.0,1,0,37.9
7430,1,5.0,0,0,47.7
7441,1,5.0,0,0,22.9
7445,1,5.0,0,1,34.5
7449,1,4.0,0,0,46.8
7453,1,5.0,0,0,30.0
7490,2,4.5,0,1,29.05
7494,1,5.0,1,0,9.9
7505,1,5.0,0,0,42.6
7515,1,5.0,1,0,9.0
7530,1,5.0,0,0,11.5
7559,1,4.0,1,1,5.4
7567,1,5.0,0,0,4.5
7582,2,4.5,0,0,53.75
7599,1,4.0,0,0,29.5
7618,1,5.0,0,0,20.0
7621,1,5.0,1,1,63.6
7680,1,5.0,1,0,30.5
7682,1,5.0,0,0,29.9
7691,1,3.0,1,1,28.4
7700,1,3.0,0,0,55.0
7746,1,4.0,0,0,31.1
7802,1,5.0,0,0,22.1
7804,1,4.0,0,0,56.3
7814,1,4.0,1,1,41.9
7826,1,4.0,0,0,50.1
7845,1,3.0,0,1,57.3
7847,1,4.0,0,0,37.9
7863,1,5.0,0,0,26.4
7864,1,3.0,0,0,14.8
7907,1,5.0,0,0,14.3
7946,1,5.0,0,0,3.4
7996,1,5.0,0,0,8.5
8010,1,3.0,0,0,20.5
8013,1,5.0,0,0,35.7
8015,1,5.0,0,0,18.5
8059,1,5.0,0,0,45.5
8069,1,4.0,1,1,56.9
8077,1,5.0,0,0,16.9
8084,1,3.0,0,1,33.2
8132,1,5.0,1,0,11.1
8155,1,3.0,0,1,57.0
8174,1,3.0,0,1,60.7
8188,1,5.0,0,0,38.9
8203,1,5.0,0,0,9.9
8221,1,3.0,0,1,67.3
8226,1,3.0,0,1,53.3
8227,1,4.0,1,0,66.3
8232,1,5.0,0,0,38.7
8260,1,5.0,0,0,24.1
8261,1,3.0,0,1,47.0
8263,1,5.0,0,0,8.7
8300,1,5.0,0,0,8.4
8313,1,5.0,0,0,15.1
8341,1,5.0,0,0,35.0
8342,1,5.0,0,0,27.2
8371,1,3.0,1,1,11.1
8375,1,4.0,0,1,46.2
8378,1,5.0,0,0,14.8
8392,1,5.0,1,0,39.9
8445,1,4.0,0,0,9.6
8446,1,5.0,1,0,39.8
8458,1,5.0,0,0,17.8
8475,1,5.0,0,0,38.0
8556,1,5.0,0,1,47.8
8558,1,5.0,0,0,15.1
8567,1,5.0,0,0,25.3
8579,1,5.0,0,0,34.6
8606,1,2.0,0,1,55.2
8622,1,4.0,0,0,32.5
8627,1,5.0,0,0,13.3
8657,1,5.0,0,0,13.1
8704,1,4.0,0,0,12.6
8708,1,5.0,0,0,5.0
8717,1,5.0,0,0,5.6
8756,1,5.0,0,0,23.6
8768,1,5.0,0,0,3.2
8796,1,4.0,0,1,28.9
8818,1,5.0,0,0,14.0
8851,1,5.0,1,1,55.4
8869,1,5.0,0,0,2.6
8885,1,5.0,0,1,14.2
8898,1,2.0,0,1,54.0
8907,1,5.0,0,0,33.5
8933,1,3.0,0,1,16.2
8950,1,5.0,0,0,20.2
8951,1,3.0,1,0,49.2
8968,1,4.0,1,0,1.7
9081,1,5.0,0,0,43.8
9158,1,5.0,0,0,13.1
9162,1,4.0,0,0,53.3
9195,1,5.0,0,0,11.8
9225,1,5.0,0,0,10.2
9239,1,5.0,0,0,13.8
9283,1,3.0,1,1,46.6
9300,1,4.0,0,0,32.7
9318,1,4.0,0,1,38.4
9320,1,5.0,0,0,25.7
9324,1,3.0,0,1,52.3
9329,1,4.0,1,0,15.1
9333,1,5.0,0,0,35.2
9355,1,2.0,0,1,50.3
9381,1,3.0,0,1,30.3
9385,1,5.0,0,1,40.0
9428,1,5.0,0,0,38.2
9450,1,5.0,1,0,20.4
9453,1,5.0,0,0,18.8
9487,1,5.0,0,0,20.5
9494,1,5.0,0,0,3.6
9497,1,4.0,0,0,17.1
9538,1,5.0,0,0,10.7
9571,1,4.0,0,1,52.9
9591,1,4.0,0,0,56.1
9616,3,5.0,0,0,23.700000000000003
9623,1,5.0,0,0,26.9
9639,1,5.0,0,0,19.4
9644,1,5.0,0,0,22.0
9661,1,4.0,0,0,12.9
9662,1,5.0,0,0,16.0
9665,1,5.0,0,0,8.4
9675,1,5.0,0,1,44.7
9685,1,5.0,0,0,13.9
9687,1,3.0,0,1,36.2
9713,1,5.0,0,0,67.4
9715,1,5.0,0,0,36.3
9750,1,5.0,0,0,23.1
9752,1,4.0,0,0,16.7
9757,1,3.0,0,0,13.6
9760,1,4.0,0,0,13.1
9781,1,5.0,0,0,12.6
9784,1,3.0,0,1,35.9
9787,1,4.0,0,0,15.7
9788,1,5.0,0,0,34.6
9810,1,4.0,0,0,12.7
9849,1,5.0,0,0,31.1
9872,1,5.0,0,0,8.2
9913,1,4.0,1,1,25.2
9940,1,5.0,0,0,35.6
9955,1,5.0,0,0,26.6
9960,1,3.0,0,0,66.5
9963,1,4.0,0,0,64.7
10037,1,5.0,0,0,27.2
10047,1,3.0,0,0,10.0
10062,1,2.0,1,1,62.8
10085,1,4.0,0,1,37.4
10099,1,5.0,0,0,10.7
10115,1,4.0,0,1,11.3
10124,1,5.0,1,0,56.0
10131,1,5.0,0,1,16.0
10143,1,5.0,1,0,13.0
10152,1,3.0,0,0,13.9
10161,1,5.0,0,0,33.1
10177,1,3.0,0,1,33.1
10219,1,5.0,1,0,13.7
10220,1,5.0,0,0,13.2
10225,1,4.0,0,0,58.7
10230,1,4.0,0,0,55.8
10233,1,4.0,0,0,55.9
10238,1,5.0,0,0,18.0
10255,1,5.0,0,0,37.0
10263,1,4.0,1,0,50.4
10277,2,3.5,0,2,14.8
10294,1,4.0,0,1,21.4
10295,1,4.0,0,0,27.7
10301,1,3.0,0,0,56.2
10306,1,5.0,0,0,13.8
10311,1,5.0,0,0,34.4
10313,1,5.0,0,0,10.3
10337,1,4.0,1,1,32.8
10355,1,4.0,0,1,35.6
10405,1,5.0,1,0,13.1
10413,1,3.0,0,0,63.2
10426,1,3.0,1,1,48.9
10437,1,4.0,0,0,14.8
10470,1,4.0,0,1,14.1
10475,1,3.0,0,1,50.8
10499,1,5.0,0,0,13.9
10522,1,3.0,0,1,6.5
10534,1,5.0,0,0,22.6
10538,1,5.0,0,0,11.5
10546,1,5.0,0,0,19.9
10577,1,5.0,1,0,25.2
10599,1,4.0,0,1,46.0
10633,1,4.0,0,0,35.6
10709,1,5.0,0,0,38.6
10759,1,5.0,0,1,9.2
10788,1,5.0,0,0,40.7
10815,1,4.0,0,1,17.1
10825,1,5.0,0,0,12.4
10842,1,3.0,0,0,49.7
10874,1,5.0,0,0,50.6
10913,1,5.0,0,0,10.1
10926,1,4.0,1,1,34.6
10966,1,5.0,0,0,14.7
10986,1,5.0,0,0,31.4
10987,1,5.0,0,0,35.7
11034,1,5.0,0,0,28.6
11043,1,5.0,0,0,28.6
11053,1,5.0,0,0,18.1
11118,1,4.0,1,0,57.0
11145,1,5.0,0,0,41.9
11221,1,5.0,0,0,8.4
11242,1,4.0,0,1,52.9
11251,1,5.0,0,0,7.4
11261,1,4.0,0,1,7.4
11285,1,4.0,0,0,32.6
11318,1,4.0,0,0,8.7
11339,1,5.0,0,0,24.8
11347,1,5.0,1,0,5.9
11363,1,4.0,1,0,52.8
11395,1,5.0,0,0,43.5
11408,1,4.0,1,0,20.5
11412,1,4.0,0,0,37.7
11519,1,3.0,1,1,19.9
11532,1,5.0,0,0,40.9
11539,1,4.0,0,0,72.0
11569,1,5.0,0,0,31.8
11571,1,4.0,1,0,24.5
11609,1,4.0,0,0,54.3
11611,1,5.0,0,0,11.3
11625,1,4.0,0,0,56.9
11665,1,5.0,0,0,26.3
11673,1,5.0,0,0,20.0
11685,1,4.0,0,0,5.7
11709,1,4.0,0,1,40.9
11726,1,5.0,0,0,9.6
11739,1,4.0,0,0,51.5
11744,1,5.0,0,0,35.7
11765,1,4.0,0,1,20.4
11773,1,4.0,0,0,12.6
11820,1,5.0,0,0,35.9
11869,1,5.0,0,0,34.4
11883,1,5.0,1,0,37.9
11910,1,5.0,0,0,39.6
11911,1,4.0,1,1,54.0
11912,1,5.0,0,0,18.0
11917,1,3.0,0,1,61.8
11918,1,3.0,1,1,28.5
11931,1,5.0,0,0,17.1
11933,1,5.0,0,0,11.1
11936,1,5.0,0,0,27.0
11947,1,5.0,0,0,9.5
11960,1,3.0,0,1,9.9
11974,1,3.0,0,1,15.8
11977,1,5.0,1,0,22.6
11984,1,5.0,1,0,23.0
11998,1,4.0,0,0,42.0
12054,1,5.0,0,0,16.2
12067,1,5.0,1,0,14.8
12071,1,4.0,0,0,50.9
12082,1,5.0,0,0,21.7
12086,1,5.0,0,0,9.4
12135,1,5.0,0,0,27.7
12158,2,5.0,0,1,38.150000000000006
12189,1,4.0,0,0,14.7
12225,1,5.0,0,0,11.6
12262,1,5.0,0,0,9.9
12334,1,5.0,1,0,21.8
12348,1,4.0,0,0,59.3
12350,1,5.0,0,0,32.9
12372,1,5.0,0,0,40.4
12397,1,5.0,0,0,61.6
12471,1,5.0,0,0,35.2
12480,1,3.0,0,1,36.6
12546,1,5.0,0,0,18.3
12547,1,5.0,0,0,26.3
12550,1,5.0,0,0,13.0
12594,1,5.0,0,0,5.4
12678,1,5.0,0,0,11.3
12696,1,5.0,0,0,51.9
12711,1,5.0,0,0,27.0
12727,1,5.0,1,0,47.1
12737,1,5.0,0,1,47.6
12747,1,4.0,0,0,56.4
12748,1,5.0,0,0,16.2
12756,1,3.0,0,0,9.8
12758,1,4.0,0,0,48.7
12777,1,5.0,1,0,15.5
12795,1,4.0,0,1,43.2
12835,1,5.0,1,0,8.1
12882,1,4.0,1,0,48.3
12955,1,4.0,0,1,12.3
12976,1,5.0,0,0,5.1
13037,1,4.0,0,0,17.3
13062,1,5.0,1,0,74.5
13064,1,5.0,1,0,42.2
13102,1,5.0,0,0,25.3
13105,1,3.0,1,1,39.7
13113,1,4.0,0,0,23.5
13119,1,4.0,1,1,36.2
13144,1,5.0,0,0,40.8
13146,1,5.0,0,0,6.7
13178,1,3.0,1,1,13.3
13224,1,5.0,0,0,40.1
13247,1,4.0,1,0,48.8
