ticket_id,member_id,contact_date,channel,issue_category,resolution_time_hours,first_contact_resolution,escalated,csat_score,repeat_contact_flag
1,101065,2024-05-15,Chat,App Bug,54.2,0,0,5,1
2,130460,2024-04-14,Chat,Onboarding/Setup,10.0,1,0,5,0
3,80262,2024-06-17,Phone,Battery Drain,49.6,1,0,4,0
4,8756,2024-09-15,Email,Sync Issues,23.6,1,0,5,0
5,115431,2024-09-02,Chat,Battery Drain,48.2,1,0,4,0
6,4006,2024-11-14,Phone,Onboarding/Setup,4.9,1,0,4,0
7,55316,2024-02-28,Email,Sync Issues,33.4,0,1,2,1
8,167843,2024-03-28,Email,Battery Drain,44.6,1,0,5,0
9,92897,2024-02-08,Chat,Battery Drain,53.9,1,0,4,0
10,117429,2024-06-24,Chat,Strap Replacement,16.8,1,0,5,0
11,192944,2024-11-18,Phone,Battery Drain,57.3,1,0,5,0
12,44942,2024-09-19,Chat,Sync Issues,46.1,1,0,4,0
13,169300,2024-03-04,Email,Sync Issues,26.8,1,0,4,0
14,150359,2024-07-20,Chat,App Bug,58.7,1,0,4,0
15,75999,2024-07-20,Chat,App Bug,49.5,1,0,4,0
16,52739,2024-11-22,Chat,Shipping Delay,24.2,1,0,5,0
17,54763,2024-06-07,Email,Battery Drain,43.0,1,1,5,0
18,83996,2024-12-16,Chat,App Bug,39.1,1,0,5,0
19,127857,2024-06-07,Chat,Battery Drain,48.1,1,0,4,0
20,90207,2024-01-03,Chat,Sync Issues,52.4,0,1,4,1
21,29444,2024-12-16,Email,Billing,11.3,1,0,4,0
22,191063,2024-08-31,Chat,App Bug,31.6,1,0,4,0
23,77796,2024-05-05,Chat,Battery Drain,42.1,1,0,5,0
24,178381,2024-04-17,Email,Billing,17.8,1,0,5,0
25,37880,2024-03-07,Chat,Battery Drain,59.7,1,0,4,0
26,55727,2024-07-03,Chat,Onboarding/Setup,5.7,1,0,5,0
27,155349,2024-01-17,Email,Battery Drain,53.1,1,0,3,0
28,55707,2024-06-24,Chat,Battery Drain,52.8,1,0,4,0
29,178980,2024-08-28,Email,Sync Issues,33.6,1,0,5,0
30,84400,2024-02-19,Chat,App Bug,17.0,1,1,3,0
31,91381,2024-02-08,Chat,Strap Replacement,20.5,1,0,5,0
32,816,2024-01-19,Email,Battery Drain,36.1,1,1,4,0
33,84484,2024-01-17,Email,Onboarding/Setup,7.5,1,0,5,0
34,61785,2024-01-08,Chat,Billing,21.1,1,0,5,0
35,109574,2024-05-23,Chat,Battery Drain,34.9,1,1,5,0
36,190351,2024-05-22,Phone,Battery Drain,51.9,1,0,5,0
37,2811,2024-11-19,Phone,Billing,23.1,0,0,4,1
38,167641,2024-10-11,Phone,Onboarding/Setup,8.3,1,0,4,0
39,79938,2024-01-13,Email,Battery Drain,55.0,1,0,4,0
